anime_id,title,title_english,type,source,episodes,status,aired,duration,rating,score,scored_by,members,favorites,genre,studio,premiered
11013,Inu x Boku SS,Inu X Boku Secret Service,TV,Manga,12,Finished Airing,"{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,283882,2809,"Comedy, Supernatural, Romance, Shounen",David Production,Winter 2012
2104,Seto no Hanayome,My Bride is a Mermaid,TV,Manga,26,Finished Airing,"{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,204003,2579,"Comedy, Parody, Romance, School, Shounen",Gonzo,Spring 2007
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,TV,Manga,51,Finished Airing,"{'from': '2008-10-04', 'to': '2009-09-25'}",24 min. per ep.,PG - Children,7.55,37129,70127,802,"Comedy, Magic, School, Shoujo",Satelight,Fall 2008
721,Princess Tutu,Princess Tutu,TV,Original,38,Finished Airing,"{'from': '2002-08-16', 'to': '2003-05-23'}",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,93312,3344,"Comedy, Drama, Magic, Romance, Fantasy",Hal Film Maker,Summer 2002
12365,Bakuman. 3rd Season,Bakuman.,TV,Manga,25,Finished Airing,"{'from': '2012-10-06', 'to': '2013-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,182765,2082,"Comedy, Drama, Romance, Shounen",J.C.Staff,Fall 2012
6586,Yume-iro Pâtissière,Yume-iro Pâtissière,TV,Manga,50,Finished Airing,"{'from': '2009-10-04', 'to': '2010-09-26'}",24 min. per ep.,G - All Ages,8.03,21618,45625,826,"Kids, School, Shoujo","Studio Pierrot, Studio Hibari",Fall 2009
178,Ultra Maniac,Ultramaniac - Magical Girl,TV,Manga,26,Finished Airing,"{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,7.26,9663,22778,122,"Magic, Comedy, Romance, School, Shoujo",Production Reed,Spring 2003
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,TV,Light novel,24,Finished Airing,"{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,220591,1075,"Action, Drama, Fantasy, Romance, School, Supernatural",J.C.Staff,Fall 2007
4477,Nodame Cantabile: Paris-hen,Nodame Cantabile: Paris-hen,TV,Manga,11,Finished Airing,"{'from': '2008-10-10', 'to': '2008-12-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,85660,282,"Music, Slice of Life, Comedy, Romance, Josei",J.C.Staff,Fall 2008
853,Ouran Koukou Host Club,Ouran High School Host Club,TV,Manga,26,Finished Airing,"{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,538843,24072,"Comedy, Harem, Romance, School, Shoujo",Bones,Spring 2006
4814,Junjou Romantica 2,Junjo Romantica 2,TV,Manga,12,Finished Airing,"{'from': '2008-10-12', 'to': '2008-12-28'}",24 min. per ep.,PG-13 - Teens 13 or older,8.15,66565,108186,1123,"Comedy, Drama, Romance, Shounen Ai",Studio Deen,Fall 2008
7054,Kaichou wa Maid-sama!,Maid Sama!,TV,Manga,26,Finished Airing,"{'from': '2010-04-02', 'to': '2010-09-24'}",24 min. per ep.,PG-13 - Teens 13 or older,8.2,315130,531292,14436,"Comedy, Romance, School, Shoujo",J.C.Staff,Spring 2010
